Time,Activity,Temp,Lag
0013-10-17 17:39:00,144.8,32.18,0
0013-10-17 17:44:00,157.2,32.72,1
0013-10-17 17:49:00,162.8,33.09,2
0013-10-17 17:54:00,175,33.11,3
0013-10-17 17:59:00,165.2,32.8,4
0013-10-17 18:04:00,159,32.58,5
0013-10-17 18:09:00,89.6,32.76,6
0013-10-17 18:14:00,144.4,32.97,7
0013-10-17 18:19:00,79.6,33.03,8
0013-10-17 18:24:00,98.6,33.06,9
0013-10-17 18:29:00,99.2,33.11,10
0013-10-17 18:34:00,152.4,33.39,11
0013-10-17 18:39:00,140,33.74,12
0013-10-17 18:44:00,141.8,33.87,13
0013-10-17 18:49:00,129,34.17,14
0013-10-17 18:54:00,160,34.24,15
0013-10-17 18:59:00,196,33.89,16
0013-10-17 19:04:00,176.6,33.45,17
0013-10-17 19:09:00,179.4,33.39,18
0013-10-17 19:14:00,73.2,33.44,19
0013-10-17 19:19:00,99.8,33.61,20
0013-10-17 19:24:00,107.6,33.71,21
0013-10-17 19:29:00,97.6,33.45,22
0013-10-17 19:34:00,73.2,33.29,23
0013-10-17 19:39:00,58.8,33.14,24
0013-10-17 19:44:00,128.4,33.23,25
0013-10-17 19:49:00,81.6,33.44,26
0013-10-17 19:54:00,135,33.66,27
0013-10-17 19:59:00,108.6,33.75,28
0013-10-17 20:04:00,94.8,33.78,29
0013-10-17 20:09:00,69.6,33.87,30
0013-10-17 20:14:00,79.2,33.93,31
0013-10-17 20:19:00,92.4,33.92,32
0013-10-17 20:24:00,25.4,34.09,33
0013-10-17 20:29:00,64.6,34.35,34
0013-10-17 20:34:00,108.2,34.52,35
0013-10-17 20:39:00,70.2,34.49,36
0013-10-17 20:44:00,135.2,34.49,37
0013-10-17 20:49:00,146.2,34.61,38
0013-10-17 20:54:00,116,34.67,39
0013-10-17 20:59:00,149.6,34.79,40
0013-10-17 21:04:00,140.4,34.91,41
0013-10-17 21:09:00,174.8,34.98,42
0013-10-17 21:14:00,132.8,34.99,43
0013-10-17 21:19:00,106,35.11,44
0013-10-17 21:24:00,128,35.17,45
0013-10-17 21:29:00,77.6,35.15,46
0013-10-17 21:34:00,103.8,35.06,47
0013-10-17 21:39:00,76.6,35.02,48
0013-10-17 21:44:00,101.2,34.84,49
0013-10-17 21:49:00,143.4,34.8,50
0013-10-17 21:54:00,154.6,34.75,51
0013-10-17 21:59:00,134.8,34.7,52
0013-10-17 22:04:00,146.8,34.58,53
0013-10-17 22:09:00,115.6,34.53,54
0013-10-17 22:14:00,111,34.42,55
0013-10-17 22:19:00,105.6,34.45,56
0013-10-17 22:24:00,141.2,34.45,57
0013-10-17 22:29:00,157.6,34.39,58
0013-10-17 22:34:00,123,34.33,59
0013-10-17 22:39:00,112.8,34.31,60
0013-10-17 22:44:00,145.2,34.25,61
0013-10-17 22:49:00,161,34.32,62
0013-10-17 22:54:00,144.8,34.33,63
0013-10-17 22:59:00,144.4,34.23,64
0013-10-17 23:04:00,129.6,34.23,65
0013-10-17 23:09:00,126.4,34.18,66
0013-10-17 23:14:00,169,34.21,67
0013-10-17 23:19:00,183.2,34.2,68
0013-10-17 23:24:00,157.6,34.11,69
0013-10-17 23:29:00,162.6,33.62,70
0013-10-17 23:34:00,173,33.48,71
0013-10-17 23:39:00,150.4,33.55,72
0013-10-17 23:44:00,140,33.55,73
0013-10-17 23:49:00,22,33.63,74
0013-10-17 23:54:00,24.4,33.87,75
0013-10-17 23:59:00,8,33.93,76
0013-10-18 00:04:00,81.4,34.08,77
0013-10-18 00:09:00,85.4,33.94,78
0013-10-18 00:14:00,45.6,33.9,79
0013-10-18 00:19:00,8.8,33.73,80
0013-10-18 00:24:00,15.6,33.65,81
0013-10-18 00:29:00,11.6,33.59,82
0013-10-18 00:34:00,16,33.57,83
0013-10-18 00:39:00,22.4,33.56,84
0013-10-18 00:44:00,22,33.62,85
0013-10-18 00:49:00,11.2,33.69,86
0013-10-18 00:54:00,13.2,33.69,87
