Time,Activity,Temp,Lag
0013-10-14 19:54:00,21.2,33.82,0
0013-10-14 19:59:00,10.8,34.71,1
0013-10-14 20:04:00,23.6,35.2,2
0013-10-14 20:09:00,9.6,35.39,3
0013-10-14 20:14:00,1.6,35.56,4
0013-10-14 20:19:00,1.6,35.69,5
0013-10-14 20:24:00,2,35.73,6
0013-10-14 20:29:00,1.2,35.69,7
0013-10-14 20:34:00,0.8,35.52,8
0013-10-14 20:39:00,0.4,35.41,9
0013-10-14 20:44:00,1.2,35.38,10
0013-10-14 20:49:00,0.4,35.32,11
0013-10-14 20:54:00,2.8,35.32,12
0013-10-14 20:59:00,7.6,35.31,13
0013-10-14 21:04:00,0.8,35.29,14
0013-10-14 21:09:00,1.6,35.29,15
0013-10-14 21:14:00,0.4,35.29,16
0013-10-14 21:19:00,0,35.37,17
0013-10-14 21:24:00,0.4,35.53,18
0013-10-14 21:29:00,0,35.61,19
0013-10-14 21:34:00,1.6,35.49,20
0013-10-14 21:39:00,3.2,35.47,21
0013-10-14 21:44:00,0.4,35.38,22
0013-10-14 21:49:00,0,35.31,23
0013-10-14 21:54:00,0,35.31,24
0013-10-14 21:59:00,0.8,35.3,25
0013-10-14 22:04:00,3.6,35.25,26
0013-10-14 22:09:00,0,35.22,27
0013-10-14 22:14:00,2.4,35.19,28
0013-10-14 22:19:00,1.2,35.15,29
0013-10-14 22:24:00,8.4,35.31,30
0013-10-14 22:29:00,0,35.8,31
0013-10-14 22:34:00,0.4,36.25,32
0013-10-14 22:39:00,0,36.57,33
0013-10-14 22:44:00,0,36.85,34
0013-10-14 22:49:00,0.4,37,35
0013-10-14 22:54:00,1.2,37.1,36
0013-10-14 22:59:00,4,37.22,37
0013-10-14 23:04:00,0,37.28,38
0013-10-14 23:09:00,0.8,37.3,39
0013-10-14 23:14:00,3.6,37.36,40
0013-10-14 23:19:00,2,37.39,41
0013-10-14 23:24:00,2,37.44,42
0013-10-14 23:29:00,0.4,37.48,43
0013-10-14 23:34:00,0.8,37.47,44
0013-10-14 23:39:00,1.2,37.43,45
0013-10-14 23:44:00,0.8,37.43,46
0013-10-14 23:49:00,3.6,37.45,47
0013-10-14 23:54:00,1.6,37.46,48
0013-10-14 23:59:00,2.8,37.52,49
0013-10-15 00:04:00,1.2,37.55,50
0013-10-15 00:09:00,3.6,37.58,51
0013-10-15 00:14:00,2,37.58,52
0013-10-15 00:19:00,0,37.45,53
0013-10-15 00:24:00,0,37.45,54
0013-10-15 00:29:00,1.2,37.51,55
0013-10-15 00:34:00,1.2,37.43,56
0013-10-15 00:39:00,0.8,37.36,57
0013-10-15 00:44:00,0,37.4,58
0013-10-15 00:49:00,0.8,37.35,59
0013-10-15 00:54:00,1.6,37.31,60
0013-10-15 00:59:00,0.4,37.37,61
0013-10-15 01:04:00,1.2,37.31,62
0013-10-15 01:09:00,0.4,37.31,63
0013-10-15 01:14:00,0.4,37.53,64
0013-10-15 01:19:00,2,37.56,65
0013-10-15 01:24:00,0,37.36,66
0013-10-15 01:29:00,0,37.19,67
0013-10-15 01:34:00,0.4,37.11,68
0013-10-15 01:39:00,0.8,37.09,69
0013-10-15 01:44:00,0.8,37.12,70
0013-10-15 01:49:00,0.4,37.09,71
0013-10-15 01:54:00,2,37.06,72
0013-10-15 01:59:00,0,36.95,73
0013-10-15 02:04:00,0,36.93,74
0013-10-15 02:09:00,0,36.91,75
0013-10-15 02:14:00,1.6,36.94,76
0013-10-15 02:19:00,2,37.06,77
0013-10-15 02:24:00,0,37.05,78
0013-10-15 02:29:00,2.8,36.93,79
0013-10-15 02:34:00,0,36.66,80
0013-10-15 02:39:00,2,36.77,81
0013-10-15 02:44:00,1.6,36.76,82
0013-10-15 02:49:00,4.4,36.89,83
0013-10-15 02:54:00,0.4,36.99,84
0013-10-15 02:59:00,0,37.01,85
0013-10-15 03:04:00,3.6,36.96,86
0013-10-15 03:09:00,0,36.86,87
0013-10-15 03:14:00,1.6,37.05,88
0013-10-15 03:19:00,0.8,37.25,89
0013-10-15 03:24:00,0.8,37.3,90
0013-10-15 03:29:00,0,37.38,91
0013-10-15 03:34:00,0.4,37.44,92
0013-10-15 03:39:00,0.8,37.54,93
0013-10-15 03:44:00,0.8,37.6,94
0013-10-15 03:49:00,0.4,37.63,95
0013-10-15 03:54:00,2,37.42,96
0013-10-15 03:59:00,5.6,37,97
0013-10-15 04:04:00,1.2,36.22,98
0013-10-15 04:09:00,2,35.71,99
0013-10-15 04:14:00,0.4,35.69,100
0013-10-15 04:19:00,4,36.04,101
0013-10-15 04:24:00,4.4,36.06,102
0013-10-15 04:29:00,2,36.25,103
0013-10-15 04:34:00,1.2,36.27,104
0013-10-15 04:39:00,3.2,36.28,105
0013-10-15 04:44:00,3.2,36.29,106
0013-10-15 04:49:00,0.8,36.52,107
0013-10-15 04:54:00,2,36.76,108
0013-10-15 04:59:00,0,36.9,109
0013-10-15 05:04:00,0,36.99,110
0013-10-15 05:09:00,0.8,37.08,111
0013-10-15 05:14:00,0,37.13,112
0013-10-15 05:19:00,1.2,37.16,113
0013-10-15 05:24:00,0.4,37.23,114
0013-10-15 05:29:00,0,37.27,115
0013-10-15 05:34:00,0.4,37.31,116
0013-10-15 05:39:00,3.2,37.23,117
0013-10-15 05:44:00,0.4,37.03,118
0013-10-15 05:49:00,2.4,36.93,119
0013-10-15 05:54:00,0,36.57,120
0013-10-15 05:59:00,2,36.69,121
0013-10-15 06:04:00,5.6,36.56,122
0013-10-15 06:09:00,0.8,36.19,123
0013-10-15 06:14:00,3.2,36.41,124
0013-10-15 06:19:00,1.2,36.61,125
0013-10-15 06:24:00,0,36.68,126
0013-10-15 06:29:00,0.4,36.66,127
0013-10-15 06:34:00,1.2,36.59,128
0013-10-15 06:39:00,1.2,36.56,129
0013-10-15 06:44:00,0,36.58,130
0013-10-15 06:49:00,0.4,36.59,131
0013-10-15 06:54:00,1.2,36.59,132
0013-10-15 06:59:00,1.6,36.21,133
0013-10-15 07:04:00,0.4,36.11,134
0013-10-15 07:09:00,0,36.09,135
0013-10-15 07:14:00,0.4,36.13,136
0013-10-15 07:19:00,0,36.19,137
0013-10-15 07:24:00,2.8,36.38,138
0013-10-15 07:29:00,22.4,36.54,139
0013-10-15 07:34:00,28.2,36.07,140
0013-10-15 07:39:00,33.8,35.61,141
0013-10-15 07:44:00,17.2,35.37,142
0013-10-15 07:49:00,11.6,35.32,143
0013-10-15 07:54:00,4,35.11,144
0013-10-15 07:59:00,18.2,35.17,145
0013-10-15 08:04:00,33.4,35.34,146
0013-10-15 08:09:00,34.2,35.57,147
0013-10-15 08:14:00,35.4,35.89,148
0013-10-15 08:19:00,32.2,36.23,149
0013-10-15 08:24:00,28.4,36.57,150
0013-10-15 08:29:00,18,36.85,151
0013-10-15 08:34:00,26.4,36.95,152
0013-10-15 08:39:00,18,37.05,153
0013-10-15 08:44:00,24,37.17,154
0013-10-15 08:49:00,24.2,37.25,155
0013-10-15 08:54:00,20.6,37.28,156
0013-10-15 08:59:00,42,37.36,157
0013-10-15 09:04:00,37.4,37.34,158
0013-10-15 09:09:00,17,37.31,159
0013-10-15 09:14:00,18.2,37.35,160
0013-10-15 09:19:00,29.8,37.39,161
0013-10-15 09:24:00,32,37.47,162
0013-10-15 09:29:00,13.2,37.39,163
0013-10-15 09:34:00,1.2,37.3,164
0013-10-15 09:39:00,19.6,37.27,165
0013-10-15 09:44:00,28.4,37.09,166
0013-10-15 09:49:00,17.6,37.04,167
0013-10-15 09:54:00,21.4,37.04,168
0013-10-15 09:59:00,33,36.97,169
0013-10-15 10:04:00,0.8,36.96,170
0013-10-15 10:09:00,17.6,36.97,171
0013-10-15 10:14:00,16,36.92,172
0013-10-15 10:19:00,20,36.93,173
0013-10-15 10:24:00,5.6,36.95,174
0013-10-15 10:29:00,8,37.03,175
0013-10-15 10:34:00,13,37.11,176
0013-10-15 10:39:00,18.6,37.16,177
0013-10-15 10:44:00,10.6,37.21,178
0013-10-15 10:49:00,24,37.23,179
0013-10-15 10:54:00,13.8,37.2,180
0013-10-15 10:59:00,10.8,37.1,181
0013-10-15 11:04:00,14.2,37.21,182
0013-10-15 11:09:00,9.8,37.19,183
0013-10-15 11:14:00,12.4,37.11,184
0013-10-15 11:19:00,15.6,37.13,185
0013-10-15 11:24:00,7.2,37.17,186
0013-10-15 11:29:00,14.8,37.12,187
0013-10-15 11:34:00,11,37.11,188
0013-10-15 11:39:00,21.2,37.03,189
